required_skill_match,preferred_skill_match,total_skill_match,matched_required_count,matched_preferred_count,experience_years,project_count,shortlisted
72,70,71.4,7,4,0,5,0
85,2,60.099999999999994,8,0,6,0,0
96,92,94.79999999999998,10,5,0,3,1
62,63,62.3,6,3,1,4,0
94,43,78.7,9,2,3,10,1
42,52,45.0,4,3,0,2,0
74,23,58.699999999999996,7,1,10,8,1
99,59,87.0,10,3,10,0,1
94,2,66.39999999999999,9,0,10,5,1
35,19,30.2,4,1,8,5,1
27,45,32.4,3,2,5,9,0
23,14,20.299999999999997,2,1,0,4,0
23,24,23.299999999999997,2,1,0,4,0
75,93,80.4,8,5,5,9,1
44,77,53.89999999999999,4,4,3,4,0
86,70,81.19999999999999,9,4,3,5,1
86,16,65.0,9,1,10,7,1
46,83,57.099999999999994,5,4,5,1,0
51,99,65.39999999999999,5,5,10,5,1
69,8,50.699999999999996,7,0,6,0,1
80,37,67.1,8,2,8,3,1
70,47,63.1,7,2,9,9,1
38,59,44.3,4,3,4,2,0
40,62,46.599999999999994,4,3,8,8,1
24,85,42.3,2,4,3,2,0
61,1,42.99999999999999,6,0,9,5,1
80,87,82.1,8,4,1,0,0
41,71,50.0,4,4,2,5,0
40,10,31.0,4,0,10,3,0
89,63,81.19999999999999,9,3,0,7,1
20,76,36.8,2,4,5,10,0
24,80,40.8,2,4,5,8,1
31,71,43.0,3,4,0,3,0
65,20,51.5,6,1,10,9,1
53,17,42.199999999999996,5,1,2,9,0
68,93,75.5,7,5,4,5,1
97,63,86.79999999999998,10,3,2,0,0
64,81,69.1,6,4,9,3,1
46,94,60.39999999999999,5,5,2,6,1
92,37,75.49999999999999,9,2,9,0,1
45,31,40.8,4,2,2,7,0
66,10,49.199999999999996,7,0,4,9,0
75,44,65.7,8,2,4,10,1
82,88,83.8,8,4,3,5,1
67,32,56.5,7,2,0,4,0
80,40,68.0,8,2,4,9,1
100,7,72.1,10,0,9,10,1
45,10,34.5,4,0,4,8,0
55,85,64.0,6,4,3,1,0
20,50,29.0,2,2,5,4,0
27,87,45.0,3,4,9,5,0
71,40,61.699999999999996,7,2,3,6,0
98,16,73.39999999999999,10,1,6,4,1
66,75,68.69999999999999,7,4,6,8,1
75,45,66.0,8,2,1,0,0
33,31,32.4,3,2,2,6,0
47,78,56.3,5,4,0,9,0
97,79,91.6,10,4,7,6,1
21,53,30.599999999999998,2,3,8,3,0
45,85,57.0,4,4,3,8,0
33,91,50.4,3,5,5,10,1
78,19,60.3,8,1,8,4,1
75,32,62.1,8,2,5,3,1
26,73,40.099999999999994,3,4,8,6,1
22,39,27.099999999999998,2,2,3,3,0
42,31,38.699999999999996,4,2,7,2,0
37,96,54.699999999999996,4,5,8,8,1
57,1,40.199999999999996,6,0,3,10,0
34,96,52.599999999999994,3,5,4,7,0
83,32,67.69999999999999,8,2,7,0,1
47,76,55.7,5,4,9,6,1
93,29,73.8,9,1,5,8,1
58,32,50.199999999999996,6,2,6,7,0
76,76,76.0,8,4,2,7,1
36,25,32.7,4,1,6,5,0
63,21,50.39999999999999,6,1,7,10,1
44,65,50.3,4,3,9,3,0
36,37,36.3,4,2,5,7,1
32,89,49.099999999999994,3,4,9,2,0
44,45,44.3,4,2,8,8,1
87,14,65.1,9,1,5,1,0
29,97,49.39999999999999,3,5,8,1,0
86,43,73.1,9,2,3,6,1
37,48,40.3,4,2,7,9,1
53,74,59.3,5,4,10,3,1
27,60,36.9,3,3,3,9,0
59,66,61.099999999999994,6,3,1,7,0
61,5,44.199999999999996,6,0,9,8,1
60,8,44.4,6,0,10,6,1
25,5,19.0,2,0,8,4,0
71,72,71.3,7,4,4,7,1
45,94,59.699999999999996,4,5,3,3,0
83,31,67.39999999999999,8,2,1,1,0
78,40,66.6,8,2,0,10,0
75,75,75.0,8,4,10,5,1
78,7,56.699999999999996,8,0,6,8,1
89,71,83.6,9,4,5,0,1
52,49,51.099999999999994,5,2,1,10,1
72,91,77.7,7,5,7,9,1
41,61,47.0,4,3,10,6,1
40,83,52.9,4,4,3,9,1
89,61,80.6,9,3,7,8,1
89,6,64.1,9,0,6,9,1
23,74,38.3,2,4,4,8,0
94,83,90.69999999999999,9,4,9,9,1
81,79,80.39999999999999,8,4,9,10,1
81,3,57.599999999999994,8,0,7,2,1
43,5,31.599999999999998,4,0,8,10,1
74,57,68.89999999999999,7,3,4,4,1
28,21,25.9,3,1,9,7,1
22,25,22.9,2,1,4,7,0
50,2,35.6,5,0,1,3,0
59,40,53.3,6,2,4,10,1
55,59,56.2,6,3,2,10,0
43,13,34.0,4,1,6,0,1
25,74,39.7,2,4,9,0,0
85,81,83.8,8,4,4,3,1
94,11,69.1,9,1,7,5,1
23,86,41.9,2,4,0,7,0
98,11,71.89999999999999,10,1,2,5,1
25,12,21.1,2,1,2,8,0
70,24,56.2,7,1,8,8,1
81,44,69.89999999999999,8,2,4,1,1
76,18,58.599999999999994,8,1,8,9,1
85,54,75.69999999999999,8,3,8,0,1
98,99,98.3,10,5,0,1,0
94,44,79.0,9,2,1,4,1
27,7,21.0,3,0,4,3,0
45,92,59.099999999999994,4,5,3,3,1
70,52,64.6,7,3,9,8,1
64,54,61.0,6,3,8,10,1
63,31,53.39999999999999,6,2,6,7,0
24,50,31.799999999999997,2,2,5,5,0
89,43,75.2,9,2,6,0,0
45,81,55.8,4,4,0,1,0
87,69,81.6,9,3,0,5,1
38,17,31.699999999999996,4,1,7,10,1
39,82,51.89999999999999,4,4,1,1,0
31,21,28.0,3,1,9,9,1
66,36,56.99999999999999,7,2,10,4,1
20,95,42.5,2,5,8,4,0
33,55,39.599999999999994,3,3,6,5,0
83,58,75.5,8,3,5,5,1
57,2,40.5,6,0,0,5,0
56,27,47.3,6,1,0,1,0
30,73,42.9,3,4,1,9,0
96,34,77.39999999999999,10,2,5,2,1
22,60,33.4,2,3,5,5,0
52,92,64.0,5,5,1,7,0
25,53,33.4,2,3,0,10,0
69,62,66.89999999999999,7,3,9,0,1
29,78,43.699999999999996,3,4,4,0,0
24,96,45.599999999999994,2,5,4,10,0
42,6,31.2,4,0,1,1,0
29,75,42.8,3,4,5,10,0
63,48,58.49999999999999,6,2,8,5,1
21,93,42.599999999999994,2,5,1,8,0
32,84,47.599999999999994,3,4,9,3,1
59,30,50.3,6,2,1,2,0
21,57,31.799999999999997,2,3,2,7,0
84,60,76.8,8,3,6,10,1
82,23,64.3,8,1,5,9,1
92,19,70.1,9,1,7,8,1
36,36,36.0,4,2,7,10,1
28,3,20.499999999999996,3,0,5,4,0
94,91,93.1,9,5,10,8,1
34,19,29.499999999999996,3,1,9,1,0
43,59,47.8,4,3,2,2,0
57,23,46.8,6,1,2,6,0
54,49,52.5,5,2,0,6,0
68,48,61.99999999999999,7,2,6,5,1
88,50,76.6,9,2,4,5,1
81,95,85.19999999999999,8,5,3,1,1
79,35,65.8,8,2,9,9,1
69,97,77.39999999999999,7,5,3,5,0
97,99,97.6,10,5,3,3,1
94,65,85.3,9,3,5,2,1
28,78,43.0,3,4,7,10,1
53,33,46.99999999999999,5,2,7,1,0
95,35,77.0,10,2,4,0,0
54,5,39.3,5,0,5,10,0
20,38,25.4,2,2,3,10,0
59,41,53.599999999999994,6,2,10,4,1
83,57,75.19999999999999,8,3,8,1,0
41,11,32.0,4,1,7,1,0
79,2,55.9,8,0,9,6,1
83,17,63.199999999999996,8,1,9,7,1
91,39,75.39999999999999,9,2,0,9,1
30,20,27.0,3,1,1,7,0
33,14,27.299999999999997,3,1,8,3,0
79,96,84.1,8,5,7,0,1
49,98,63.699999999999996,5,5,2,10,0
54,25,45.3,5,1,7,6,1
56,7,41.3,6,0,0,0,0
24,99,46.5,2,5,9,10,1
97,93,95.79999999999998,10,5,3,3,1
45,86,57.3,4,4,2,7,0
81,41,69.0,8,2,5,1,0
23,43,29.0,2,2,6,5,0
61,13,46.599999999999994,6,1,3,5,0
37,77,49.0,4,4,6,8,1
59,1,41.599999999999994,6,0,8,4,1
91,36,74.5,9,2,10,9,1
58,68,60.99999999999999,6,3,1,3,0
33,37,34.199999999999996,3,2,10,4,1
51,40,47.699999999999996,5,2,2,9,0
70,61,67.3,7,3,4,10,1
57,59,57.599999999999994,6,3,2,4,0
42,13,33.3,4,1,10,7,1
82,88,83.8,8,4,7,9,1
34,83,48.699999999999996,3,4,9,7,1
44,1,31.099999999999998,4,0,7,1,0
36,69,45.9,4,3,7,6,1
85,16,64.3,8,1,8,7,1
97,88,94.29999999999998,10,4,3,10,1
72,27,58.5,7,1,4,5,0
70,65,68.5,7,3,4,4,1
58,34,50.8,6,2,7,10,1
70,100,79.0,7,5,6,8,1
89,4,63.5,9,0,8,2,1
25,64,36.7,2,3,7,9,1
86,39,71.89999999999999,9,2,1,3,0
26,75,40.7,3,4,9,8,0
70,55,65.5,7,3,3,5,1
91,35,74.19999999999999,9,2,5,7,1
61,44,55.89999999999999,6,2,1,6,0
83,22,64.69999999999999,8,1,6,10,1
34,46,37.599999999999994,3,2,2,1,0
48,30,42.599999999999994,5,2,2,2,0
52,10,39.4,5,0,10,0,1
46,9,34.9,5,0,1,8,0
55,66,58.3,6,3,10,6,1
48,13,37.49999999999999,5,1,7,0,0
57,79,63.599999999999994,6,4,5,2,0
76,73,75.1,8,4,0,3,0
46,92,59.8,5,5,0,3,0
74,9,54.5,7,0,6,4,1
52,75,58.9,5,4,7,2,1
87,93,88.8,9,5,4,2,1
85,0,59.49999999999999,8,0,10,0,1
29,4,21.499999999999996,3,0,4,6,0
24,19,22.499999999999996,2,1,3,10,0
93,7,67.19999999999999,9,0,5,9,1
57,42,52.5,6,2,5,0,1
32,75,44.9,3,4,2,1,0
50,0,35.0,5,0,8,3,0
66,56,63.0,7,3,10,3,1
71,63,68.6,7,3,6,4,1
75,83,77.4,8,4,0,10,1
34,27,31.9,3,1,6,1,0
48,36,44.39999999999999,5,2,4,3,0
27,46,32.699999999999996,3,2,4,0,0
24,100,46.8,2,5,1,1,0
48,75,56.099999999999994,5,4,3,0,0
66,36,56.99999999999999,7,2,5,9,1
87,48,75.3,9,2,9,9,1
95,43,79.4,10,2,10,3,1
64,55,61.3,6,3,6,3,1
21,27,22.799999999999997,2,1,10,6,0
46,78,55.599999999999994,5,4,4,9,1
55,5,40.0,6,0,8,10,1
55,60,56.5,6,3,2,10,0
45,19,37.199999999999996,4,1,0,8,0
62,77,66.5,6,4,3,8,1
46,1,32.49999999999999,5,0,8,4,1
88,72,83.19999999999999,9,4,3,9,0
39,36,38.099999999999994,4,2,1,0,0
30,19,26.7,3,1,9,0,0
93,25,72.6,9,1,4,5,1
57,28,48.3,6,1,2,1,0
25,0,17.5,2,0,8,7,1
91,34,73.89999999999999,9,2,3,8,1
42,69,50.099999999999994,4,3,5,3,0
66,100,76.19999999999999,7,5,1,4,0
65,58,62.9,6,3,5,10,1
31,68,42.099999999999994,3,3,2,7,0
32,32,32.0,3,2,8,2,0
81,50,71.69999999999999,8,2,10,4,1
79,77,78.39999999999999,8,4,1,2,0
62,11,46.699999999999996,6,1,8,9,1
95,19,72.2,10,1,4,2,0
87,52,76.5,9,3,7,2,1
24,87,42.89999999999999,2,4,1,6,0
56,42,51.8,6,2,5,6,1
91,97,92.8,9,5,2,6,1
50,88,61.4,5,4,9,9,1
28,49,34.3,3,2,4,7,0
70,28,57.4,7,1,7,4,1
